1.000000e+01  1.000000e+01 0.0
7.822629e+00  8.182525e+00 0.0
6.088975e+00  6.717538e+00 0.0
4.709837e+00  5.535069e+00 0.0
3.613877e+00  4.579111e+00 0.0
2.744045e+00  3.804820e+00 0.0
2.054720e+00  3.176290e+00 0.0
1.509426e+00  2.664759e+00 0.0
1.079004e+00  2.247179e+00 0.0
7.401459e-01  1.905076e+00 0.0
4.742287e-01  1.623623e+00 0.0
2.663806e-01  1.390911e+00 0.0
1.047352e-01  1.197358e+00 0.0
-2.016183e-02  1.035226e+00 0.0
-1.158230e-01  8.982406e-01 0.0
-1.881881e-01  7.812731e-01 0.0
-2.419081e-01  6.800733e-01 0.0
-2.805502e-01  5.910397e-01 0.0
-3.067228e-01  5.110079e-01 0.0
-3.220997e-01  4.370438e-01 0.0
-3.272969e-01  3.662673e-01 0.0
-3.215849e-01  2.959076e-01 0.0
-3.029310e-01  2.245088e-01 0.0
-2.711221e-01  1.557751e-01 0.0
-2.340717e-01  9.807191e-02 0.0
-2.007580e-01  5.283772e-02 0.0
-1.733229e-01  1.711175e-02 0.0
-1.512066e-01  -1.134762e-02 0.0
-1.334761e-01  -3.408656e-02 0.0
-1.192834e-01  -5.227117e-02 0.0
-1.079273e-01  -6.681737e-02 0.0
-9.884194e-02  -7.845400e-02 0.0
-9.157358e-02  -8.776322e-02 0.0
-8.575887e-02  -9.521058e-02 0.0
-8.110710e-02  -1.011685e-01 0.0
-7.738568e-02  -1.059348e-01 0.0
-7.440854e-02  -1.097478e-01 0.0
-7.202683e-02  -1.127983e-01 0.0
-7.012147e-02  -1.152386e-01 0.0
-6.859717e-02  -1.171909e-01 0.0
-6.737774e-02  -1.187527e-01 0.0
-6.640219e-02  -1.200022e-01 0.0
-6.562175e-02  -1.210017e-01 0.0
-6.499740e-02  -1.218014e-01 0.0
-6.449792e-02  -1.224411e-01 0.0
-6.409834e-02  -1.229529e-01 0.0
-6.377867e-02  -1.233623e-01 0.0
-6.352294e-02  -1.236898e-01 0.0
-6.331835e-02  -1.239519e-01 0.0
-6.315468e-02  -1.241615e-01 0.0
-6.302374e-02  -1.243292e-01 0.0
-6.291899e-02  -1.244634e-01 0.0
-6.283520e-02  -1.245707e-01 0.0
-6.276816e-02  -1.246566e-01 0.0
-6.271453e-02  -1.247252e-01 0.0
-6.267162e-02  -1.247802e-01 0.0
-6.263730e-02  -1.248242e-01 0.0
-6.260984e-02  -1.248593e-01 0.0
-6.258787e-02  -1.248875e-01 0.0
-6.257030e-02  -1.249100e-01 0.0
-6.255624e-02  -1.249280e-01 0.0
-6.254499e-02  -1.249424e-01 0.0
-6.253599e-02  -1.249539e-01 0.0
-6.252879e-02  -1.249631e-01 0.0
-6.252303e-02  -1.249705e-01 0.0
-6.251843e-02  -1.249764e-01 0.0
-6.251474e-02  -1.249811e-01 0.0
-6.251179e-02  -1.249849e-01 0.0
-6.250943e-02  -1.249879e-01 0.0
-6.250755e-02  -1.249903e-01 0.0
-6.250604e-02  -1.249923e-01 0.0
-6.250483e-02  -1.249938e-01 0.0
-6.250386e-02  -1.249951e-01 0.0
-6.250309e-02  -1.249960e-01 0.0
-6.250247e-02  -1.249968e-01 0.0
-6.250198e-02  -1.249975e-01 0.0
-6.250158e-02  -1.249980e-01 0.0
-6.250127e-02  -1.249984e-01 0.0
-6.250101e-02  -1.249987e-01 0.0
-6.250081e-02  -1.249990e-01 0.0
-6.250065e-02  -1.249992e-01 0.0
-6.250052e-02  -1.249993e-01 0.0
-6.250041e-02  -1.249995e-01 0.0
-6.250033e-02  -1.249996e-01 0.0
-6.250027e-02  -1.249997e-01 0.0
-6.250021e-02  -1.249997e-01 0.0
-6.250017e-02  -1.249998e-01 0.0
-6.250014e-02  -1.249998e-01 0.0
-6.250011e-02  -1.249999e-01 0.0
-6.250009e-02  -1.249999e-01 0.0
-6.250007e-02  -1.249999e-01 0.0
